number,name,name_full,personal_name,suffix,suffix_L,name_L,canonization,birth,DMY_birth,birth_place,start,DMY_start,end,DMY_end,age_start,age_end,tenure,notes,wiki
62,Benedict,Benedict I,NA,1,Primus,BENEDICTVS,NA,0525-06-30T00:00:00Z,30/06/525,"Rome, Ostrogothic Kingdom",0575-06-02T00:00:00Z,02/06/575,0579-07-30T00:00:00Z,30/07/579,49,54,4.158469945355190,"Subject of the (Ostrogothic) Kingdom of Italy, later a (Eastern) Roman citizen. Was of Roman ethnicity.",https://en.wikipedia.org/wiki/Pope_Benedict_I
63,Pelagius,Pelagius II,NA,2,Secundus,PELAGIVS,NA,0520-06-30T00:00:00Z,30/06/520,"Rome, Ostrogothic Kingdom",0579-11-26T00:00:00Z,26/11/579,0590-02-07T00:00:00Z,07/02/590,59,69,10.2,"Romanized Ostrogoth. Subject of the (Ostrogothic) Kingdom of Italy, later a (Eastern) Roman citizen. Ordered the construction of the Basilica di San Lorenzo fuori le Mura.",https://en.wikipedia.org/wiki/Pope_Pelagius_II
64,Gregory,Gregory I,NA,1,Primus,GREGORIVS MAGNVS,Saint,0540-06-30T00:00:00Z,30/06/540,"Rome, Eastern Roman Empire",0590-09-03T00:00:00Z,03/09/590,0604-03-12T00:00:00Z,12/03/604,50,63,13.521857923497300,"Subject of the (Ostrogothic) Kingdom of Italy, later a (Eastern) Roman citizen. Was of Roman ethnicity. Great-great-grandson of pope Felix III. The first formally to employ the titles Servus servorum Dei and Pontifex Maximus. Established the Gregorian chant. Feast day 3 September. Also revered as a saint in Eastern Christianity, with a feast day of 12 March. Known as ""the Father of Christian Worship"". Known as ""St. Gregory the Dialogist"" in Eastern Orthodoxy.",https://en.wikipedia.org/wiki/Pope_Gregory_I
65,Sabinian,Sabinian,NA,1,Primus,SABINIANVS,NA,0530-06-30T00:00:00Z,30/06/530,"Blera, Eastern Roman Empire",0604-09-13T00:00:00Z,13/09/604,0606-02-22T00:00:00Z,22/02/606,74,75,1.4438356164383600,"Subject of the (Ostrogothic) Kingdom of Italy, later a (Eastern) Roman citizen. Was of Roman ethnicity. For the next two centuries the Roman popes were all controlled by the Byzantine Empire.",https://en.wikipedia.org/wiki/Pope_Sabinian
66,Boniface,Boniface III,NA,3,Tertius,BONIFACIVS,NA,0540-06-30T00:00:00Z,30/06/540,"Rome, Eastern Roman Empire",0607-02-19T00:00:00Z,19/02/607,0607-11-12T00:00:00Z,12/11/607,66,67,0.7287671232876710,"Subject of the (Ostrogothic) Kingdom of Italy, later a (Eastern) Roman citizen. Was of Greek descent.",https://en.wikipedia.org/wiki/Pope_Boniface_III
67,Boniface,Boniface IV,NA,4,Quartus,BONIFACIVS,Saint,0550-06-30T00:00:00Z,30/06/550,"Marsica, Eastern Roman Empire",0608-09-15T00:00:00Z,15/09/608,0615-05-08T00:00:00Z,08/05/615,58,64,6.6438356164383600,"Subject of the (Ostrogothic) Kingdom of Italy, later a (Eastern) Roman citizen. Was of Roman ethnicity. First pope to bear the same name as his immediate predecessor. Member of the Order of Saint Benedict.",https://en.wikipedia.org/wiki/Pope_Boniface_IV
68,Adeodatus,Adeodatus I,NA,1,Primus,ADEODATVS,Saint,0570-06-30T00:00:00Z,30/06/570,"Rome, Eastern Roman Empire",0615-11-13T00:00:00Z,13/11/615,0618-11-08T00:00:00Z,08/11/618,45,48,2.9863013698630100,"(Eastern) Roman citizen. Was of Roman ethnicity. Sometimes called Deusdedit. The first pope to use lead seals on papal documents, which in time came to be called papal bulls.",https://en.wikipedia.org/wiki/Pope_Adeodatus_I
69,Boniface,Boniface V,NA,5,Quintus,BONIFACIVS,NA,0575-06-30T00:00:00Z,30/06/575,"Neapolis, Eastern Roman Empire",0619-12-23T00:00:00Z,23/12/619,0625-10-25T00:00:00Z,25/10/625,44,50,5.838356164383560,(Eastern) Roman citizen. Was of Roman ethnicity.,https://en.wikipedia.org/wiki/Pope_Boniface_V
70,Honorius,Honorius I,NA,1,Primus,HONORIVS,NA,0585-06-30T00:00:00Z,30/06/585,"Ceperanum, Campania, Eastern Roman Empire",0625-10-27T00:00:00Z,27/10/625,0638-10-12T00:00:00Z,12/10/638,40,53,12.95890410958900,(Eastern) Roman citizen. Was of Roman ethnicity. Named a heretic and anathematized by the Third Council of Constantinople. (680),https://en.wikipedia.org/wiki/Pope_Honorius_I
71,Severinus,Severinus,NA,1,Primus,SEVERINVS,NA,0585-06-30T00:00:00Z,30/06/585,"Rome, Eastern Roman Empire",0640-05-28T00:00:00Z,28/05/640,0640-08-02T00:00:00Z,02/08/640,54,55,0.18082191780821900,(Eastern) Roman citizen. Was of Roman ethnicity.,https://en.wikipedia.org/wiki/Pope_Severinus
72,John,John IV,NA,4,Quartus,IOANNES,NA,0587-06-30T00:00:00Z,30/06/587,"Iadera, Dalmatia, Eastern Roman Empire",0640-12-24T00:00:00Z,24/12/640,0642-10-12T00:00:00Z,12/10/642,53,55,1.8,(Eastern) Roman citizen. Was of Roman ethnicity.,https://en.wikipedia.org/wiki/Pope_John_IV
73,Theodore,Theodore I,NA,1,Primus,THEODORVS,NA,0610-06-30T00:00:00Z,30/06/610,"Hierosolyma, Eastern Roman Empire",0642-11-24T00:00:00Z,24/11/642,0649-05-14T00:00:00Z,14/05/649,32,38,6.468493150684930,"(Eastern) Roman citizen. Was of Greek ethnicity. The last pope from Palestine. Planned the Lateran Council of 649, but died before it could open.",https://en.wikipedia.org/wiki/Pope_Theodore_I
74,Martin,Martin I,NA,1,Primus,MARTINVS,Saint,0590-06-30T00:00:00Z,30/06/590,"Near Tuder, Umbria, Eastern Roman Empire",0649-07-05T00:00:00Z,05/07/649,0655-11-12T00:00:00Z,12/11/655,59,65,6.355191256830600,"(Eastern) Roman citizen. Was of Roman ethnicity. Last pope recognized as a martyr. Feast day of 12 November. Also revered as a saint in Eastern Christianity, with a feast day of 14 April.",https://en.wikipedia.org/wiki/Pope_Martin_I
75,Eugene,Eugene I,NA,1,Primus,EVGENIVS,Saint,0615-06-30T00:00:00Z,30/06/615,"Rome, Duchy of Rome, Exarchate of Ravenna, Eastern Roman Empire",0654-08-10T00:00:00Z,10/08/654,0657-06-02T00:00:00Z,02/06/657,39,41,2.8109589041095900,(Eastern) Roman citizen. Was of Roman ethnicity.,https://en.wikipedia.org/wiki/Pope_Eugene_I
76,Vitalian,Vitalian,NA,1,Primus,VITALIANVS,Saint,0600-06-30T00:00:00Z,30/06/600,"Signia, Duchy of Rome, Exarchate of Ravenna, Eastern Roman Empire",0657-07-30T00:00:00Z,30/07/657,0672-01-27T00:00:00Z,27/01/672,57,71,14.494535519125700,(Eastern) Roman citizen. Was of Roman ethnicity.,https://en.wikipedia.org/wiki/Pope_Vitalian
77,Adeodatus,Adeodatus II,NA,2,Secundus,ADEODATVS,NA,0621-06-30T00:00:00Z,30/06/621,"Rome, Duchy of Rome, Exarchate of Ravenna, Eastern Roman Empire",0672-04-11T00:00:00Z,11/04/672,0676-06-17T00:00:00Z,17/06/676,50,54,4.183561643835620,"(Eastern) Roman citizen. Was of Roman ethnicity. Sometimes called Adeodatus, without a number, in reference to Adeodatus I sometimes being called Deusdedit. Member of the Order of Saint Benedict.",https://en.wikipedia.org/wiki/Pope_Adeodatus_II
78,Donus,Donus,NA,1,Primus,DONVS,NA,0610-06-30T00:00:00Z,30/06/610,"Rome, Duchy of Rome, Exarchate of Ravenna, Eastern Roman Empire",0676-11-02T00:00:00Z,02/11/676,0678-04-11T00:00:00Z,11/04/678,66,67,1.4383561643835600,(Eastern) Roman citizen. Was of Roman ethnicity.,https://en.wikipedia.org/wiki/Pope_Donus
79,Agatho,Agatho,NA,1,Primus,AGATHO,Saint,0577-06-30T00:00:00Z,30/06/577,"Panormus, Sicily, Eastern Roman Empire",0678-06-27T00:00:00Z,27/06/678,0681-01-10T00:00:00Z,10/01/681,100,103,2.5397260273972600,"(Eastern) Roman citizen. Was of Greek ethnicity. Also revered as a saint in Eastern Christianity, with a feast day of 20 February. Pope during the Third Council of Constantinople (680), the sixth ecumenical council accepted by the Catholic and Eastern Orthodox churches.",https://en.wikipedia.org/wiki/Pope_Agatho
80,Leo,Leo II,NA,2,Secundus,LEO,Saint,0611-06-30T00:00:00Z,30/06/611,"Aydonum, Sicily, Eastern Roman Empire",0682-08-17T00:00:00Z,17/08/682,0683-07-03T00:00:00Z,03/07/683,71,72,0.8767123287671230,(Eastern) Roman citizen. Was of Greek ethnicity. Feast day 3 July.,https://en.wikipedia.org/wiki/Pope_Leo_II
81,Benedict,Benedict II,NA,2,Secundus,BENEDICTVS,Saint,0635-06-30T00:00:00Z,30/06/635,"Rome, Duchy of Rome, Exarchate of Ravenna, Eastern Roman Empire",0684-06-26T00:00:00Z,26/06/684,0685-05-08T00:00:00Z,08/05/685,48,49,0.8657534246575340,(Eastern) Roman citizen. Was of Roman ethnicity. Feast day 7 May.,https://en.wikipedia.org/wiki/Pope_Benedict_II
82,John,John V,NA,5,Quintus,IOANNES,NA,0635-06-30T00:00:00Z,30/06/635,"Antiochia, Syria, Eastern Roman Empire",0685-07-23T00:00:00Z,23/07/685,0686-08-02T00:00:00Z,02/08/686,50,51,1.0273972602739700,(Eastern) Roman citizen. Was of Greek ethnicity.,https://en.wikipedia.org/wiki/Pope_John_V
83,Conon,Conon,NA,1,Primus,CONON,NA,0630-06-30T00:00:00Z,30/06/630,"Thracia, Eastern Roman Empire",0686-10-21T00:00:00Z,21/10/686,0687-09-21T00:00:00Z,21/09/687,56,57,0.9178082191780820,(Eastern) Roman citizen. Was of Greek ethnicity.,https://en.wikipedia.org/wiki/Pope_Conon
84,Sergius,Sergius I,NA,1,Primus,SERGIVS,Saint,0650-06-30T00:00:00Z,30/06/650,"Palermo, Sicily, Eastern Roman Empire",0687-12-15T00:00:00Z,15/12/687,0701-09-08T00:00:00Z,08/09/701,37,51,13.731506849315100,(Eastern) Roman citizen. Was a Hellenized Syrian. Introduced the singing of the Lamb of God at mass.,https://en.wikipedia.org/wiki/Pope_Sergius_I
85,John,John VI,NA,6,Sextus,IOANNES,NA,0650-06-30T00:00:00Z,30/06/650,"Ephesus, Eastern Roman Empire",0701-10-30T00:00:00Z,30/10/701,0705-01-11T00:00:00Z,11/01/705,51,54,3.2,(Eastern) Roman citizen. Was of Greek ethnicity. The only pope who came from Asia Minor.,https://en.wikipedia.org/wiki/Pope_John_VI
86,John,John VII,NA,7,Septimus,IOANNES,NA,0655-06-30T00:00:00Z,30/06/655,"Rossanum, Calabria, Eastern Roman Empire",0705-03-01T00:00:00Z,01/03/705,0707-10-18T00:00:00Z,18/10/707,49,52,2.6311475409836100,(Eastern) Roman citizen. Was of Greek ethnicity. The second pope to bear the same name as his immediate predecessor.,https://en.wikipedia.org/wiki/Pope_John_VII
87,Sisinnius,Sisinnius,NA,1,Primus,SISINNIVS,NA,0650-06-30T00:00:00Z,30/06/650,"Syria, Rashidun Caliphate",0708-01-15T00:00:00Z,15/01/708,0708-02-04T00:00:00Z,04/02/708,57,57,0.0546448087431694,Born as subject of the Rashidun Caliphate. Was Syrian.,https://en.wikipedia.org/wiki/Pope_Sisinnius
88,Constantine,Constantine,NA,1,Primus,CONSTANTINVS,NA,0664-06-30T00:00:00Z,30/06/664,"Tyre, Syria, Umayyad Caliphate",0708-03-25T00:00:00Z,25/03/708,0715-04-09T00:00:00Z,09/04/715,43,50,7.040983606557380,"Born as subject of the Umayyad Caliphate. Was Syrian. Last pope to visit Greece while in office, until John Paul II in 2001.",https://en.wikipedia.org/wiki/Pope_Constantine
89,Gregory,Gregory II,NA,2,Secundus,GREGORIVS,Saint,0669-06-30T00:00:00Z,30/06/669,"Rome, Duchy of Rome (Eastern Roman Empire)",0715-05-19T00:00:00Z,19/05/715,0731-02-11T00:00:00Z,11/02/731,45,61,15.734246575342500,(Eastern) Roman citizen. Was of Roman ethnicity. Feast day 11 February. Held the Synod of Rome (721).,https://en.wikipedia.org/wiki/Pope_Gregory_II
90,Gregory,Gregory III,NA,3,Tertius,GREGORIVS,Saint,0669-06-30T00:00:00Z,30/06/669,"Syria, Umayyad Caliphate",0731-03-18T00:00:00Z,18/03/731,0741-11-28T00:00:00Z,28/11/741,61,72,10.698630136986300,Born as subject of the Umayyad Caliphate; the last pope from Syria. The third pope to come from a Muslim country. The third pope to bear the same name as his immediate predecessor. Last pope to have been born outside Europe until the election of Francis in 2013.,https://en.wikipedia.org/wiki/Pope_Gregory_III
91,Zachary,Zachary,NA,1,Primus,ZACHARIAS,Saint,0679-06-30T00:00:00Z,30/06/679,"Sancta Severina, Calabria, Eastern Roman Empire",0741-12-03T00:00:00Z,03/12/741,0752-03-22T00:00:00Z,22/03/752,62,72,10.300546448087400,(Eastern) Roman citizen. Was of Greek ethnicity. Feast day 15 March. Built the church of Santa Maria sopra Minerva.,https://en.wikipedia.org/wiki/Pope_Zachary
92,Stephen,Stephen II,NA,2,Secundus,STEPHANVS,Saint,0714-06-30T00:00:00Z,30/06/714,"Rome, Duchy of Rome, Exarchate of Ravenna, Eastern Roman Empire",0752-03-26T00:00:00Z,26/03/752,0757-04-26T00:00:00Z,26/04/757,37,42,5.0849315068493200,"(Eastern) Roman citizen (was of Roman ethnicity), later the sovereign of the independent Papal States. Sometimes called Stephen III. The Donation of Pepin. Brother of Paul I.",https://en.wikipedia.org/wiki/Pope_Stephen_II
93,Paul,Paul I,NA,1,Primus,PAVLVS,Saint,0700-06-30T00:00:00Z,30/06/700,"Rome, Duchy of Rome, Exarchate of Ravenna, Eastern Roman Empire",0757-05-29T00:00:00Z,29/05/757,0767-06-28T00:00:00Z,28/06/767,56,66,10.081967213114800,"(Eastern) Roman citizen (was of Roman ethnicity), later the sovereign of the independent Papal States. Brother of Stephen II.",https://en.wikipedia.org/wiki/Pope_Paul_I
94,Stephen,Stephen III,NA,3,Tertius,STEPHANVS,Saint,0723-06-30T00:00:00Z,30/06/723,"Syracuse, Sicily, Eastern Roman Empire",0768-08-07T00:00:00Z,07/08/768,0772-01-24T00:00:00Z,24/01/772,45,48,3.4644808743169400,"(Eastern) Roman citizen (was of Greek ethnicity), later the sovereign of the independent Papal States. Sometimes called Stephen IV. He summoned the Lateran Council (769).",https://en.wikipedia.org/wiki/Pope_Stephen_III
95,Adrian,Adrian I,NA,1,Primus,HADRIANVS,NA,0700-06-30T00:00:00Z,30/06/700,"Rome, Duchy of Rome, Exarchate of Ravenna, Eastern Roman Empire",0772-02-01T00:00:00Z,01/02/772,0795-12-26T00:00:00Z,26/12/795,71,95,23.898630136986300,"(Eastern) Roman citizen (was of Roman ethnicity), later the sovereign of the independent Papal States. Pope during the Second Council of Nicaea (787), the seventh ecumenical council accepted by the Catholic and Eastern Orthodox churches.",https://en.wikipedia.org/wiki/Pope_Adrian_I
96,Leo,Leo III,NA,3,Tertius,LEO,Saint,0750-06-30T00:00:00Z,30/06/750,"Rome, Duchy of Rome, Exarchate of Ravenna, Eastern Roman Empire",0795-12-26T00:00:00Z,26/12/795,0816-06-12T00:00:00Z,12/06/816,45,65,20.461748633879800,"(Eastern) Roman citizen (was of Roman ethnicity), later the sovereign of the independent Papal States. Crowned Charlemagne emperor on Christmas Day, 800, thereby initiating what would become the Holy Roman Empire, requiring the imprimatur of the pope for its ruler's legitimacy.",https://en.wikipedia.org/wiki/Pope_Leo_III
97,Stephen,Stephen IV,NA,4,Quartus,STEPHANVS,Saint,0770-06-30T00:00:00Z,30/06/770,"Rome, Papal States",0816-06-22T00:00:00Z,22/06/816,0817-01-24T00:00:00Z,24/01/817,45,46,0.5917808219178080,First pope born in Rome after breaking away from the Roman Empire. Sometimes called Stephen V.,https://en.wikipedia.org/wiki/Pope_Stephen_IV
98,Paschal,Paschal I,NA,1,Primus,PASCHALIS,Saint,0775-06-30T00:00:00Z,30/06/775,"Rome, Papal States",0817-01-25T00:00:00Z,25/01/817,0824-02-11T00:00:00Z,11/02/824,41,48,7.046448087431690,"Subject and later the sovereign of the Papal States. Son of Bonosus and Episcopa Theodora. Credited with finding the body of Saint Cecilia in the Catacomb of Callixtus, building the basilica of Santa Cecilia in Trastevere and the church of Santa Maria in Domnica.",https://en.wikipedia.org/wiki/Pope_Paschal_I
99,Eugene,Eugene II,NA,2,Secundus,EVGENIVS,NA,0780-06-30T00:00:00Z,30/06/780,"Rome, Papal States",0824-05-08T00:00:00Z,08/05/824,0827-08-27T00:00:00Z,27/08/827,43,47,3.30327868852459,Subject and later the sovereign of the Papal States.,https://en.wikipedia.org/wiki/Pope_Eugene_II
100,Valentine,Valentine,NA,1,Primus,VALENTINVS,NA,0780-06-30T00:00:00Z,30/06/780,"Rome, Papal States",0827-08-31T00:00:00Z,31/08/827,0827-10-10T00:00:00Z,10/10/827,47,47,0.1092896174863390,Subject and later the sovereign of the Papal States.,https://en.wikipedia.org/wiki/Pope_Valentine
101,Gregory,Gregory IV,NA,4,Quartus,GREGORIVS,NA,0790-06-30T00:00:00Z,30/06/790,"Rome, Papal States",0827-12-20T00:00:00Z,20/12/827,0844-01-25T00:00:00Z,25/01/844,37,53,16.098360655737700,Subject and later the sovereign of the Papal States. Rebuilt the atrium of St. Peter's Basilica and in the newly decorated chapel transferred the body of Gregory I.,https://en.wikipedia.org/wiki/Pope_Gregory_IV
102,Sergius,Sergius II,NA,2,Secundus,SERGIVS,NA,0790-06-30T00:00:00Z,30/06/790,"Rome, Papal States",0844-01-25T00:00:00Z,25/01/844,0847-01-27T00:00:00Z,27/01/847,53,56,3.0054794520547900,Subject and later the sovereign of the Papal States.,https://en.wikipedia.org/wiki/Pope_Sergius_II
103,Leo,Leo IV,NA,4,Quartus,LEO,Saint,0790-06-30T00:00:00Z,30/06/790,"Rome, Papal States",0847-04-10T00:00:00Z,10/04/847,0855-07-17T00:00:00Z,17/07/855,56,65,8.26775956284153,"Subject and later the sovereign of the Papal States, was of Lombard ethnicity. Member of the Order of Saint Benedict.",https://en.wikipedia.org/wiki/Pope_Leo_IV
104,Benedict,Benedict III,NA,3,Tertius,BENEDICTVS,NA,0810-06-30T00:00:00Z,30/06/810,"Rome, Papal States",0855-09-29T00:00:00Z,29/09/855,0858-04-17T00:00:00Z,17/04/858,45,47,2.547945205479450,Subject and later the sovereign of the Papal States.,https://en.wikipedia.org/wiki/Pope_Benedict_III
105,Nicholas,Nicholas I,NA,1,Primus,NICOLAVS MAGNVS,Saint,0800-06-30T00:00:00Z,30/06/800,"Rome, Papal States",0858-04-24T00:00:00Z,24/04/858,0867-11-13T00:00:00Z,13/11/867,57,67,9.55464480874317,Subject and later the sovereign of the Papal States. Encouraged missionary activity.,https://en.wikipedia.org/wiki/Pope_Nicholas_I
106,Adrian,Adrian II,NA,2,Secundus,HADRIANVS,NA,0792-06-30T00:00:00Z,30/06/792,"Rome, Papal States",0867-12-14T00:00:00Z,14/12/867,0872-12-14T00:00:00Z,14/12/872,75,80,5,"Subject and later the sovereign of the Papal States. Pope during the Council of Constantinople IV (869), the eighth ecumenical council of the Catholic Church.",https://en.wikipedia.org/wiki/Pope_Adrian_II
107,John,John VIII,NA,8,Octavus,IOANNES,NA,0820-06-30T00:00:00Z,30/06/820,"Rome, Papal States",0872-12-14T00:00:00Z,14/12/872,0882-12-16T00:00:00Z,16/12/882,52,62,10.005479452054800,Subject and later the sovereign of the Papal States. First pope to be assassinated.,https://en.wikipedia.org/wiki/Pope_John_VIII
108,Marinus,Marinus I,NA,1,Primus,MARINVS,NA,0830-06-30T00:00:00Z,30/06/830,"Gallese, Papal States",0882-12-16T00:00:00Z,16/12/882,0884-05-15T00:00:00Z,15/05/884,52,53,1.4125683060109300,Subject and later the sovereign of the Papal States. Erroneously also known as Martin II.,https://en.wikipedia.org/wiki/Pope_Marinus_I
109,Adrian,Adrian III,NA,3,Tertius,HADRIANVS,Saint,0830-06-30T00:00:00Z,30/06/830,"Rome, Papal States",0884-05-17T00:00:00Z,17/05/884,0885-09-15T00:00:00Z,15/09/885,53,55,1.3315068493150700,Subject and later the sovereign of the Papal States. Feast day 8 July. Adrian I was possibly his ancestor.,https://en.wikipedia.org/wiki/Pope_Adrian_III
110,Stephen,Stephen V,NA,5,Quintus,STEPHANVS,Saint,0840-06-30T00:00:00Z,30/06/840,"Rome, Papal States",0885-09-14T00:00:00Z,14/09/885,0891-09-04T00:00:00Z,04/09/891,45,51,5.972602739726030,Subject and later the sovereign of the Papal States. Sometimes called Stephen VI.,https://en.wikipedia.org/wiki/Pope_Stephen_V
111,Formosus,Formosus,NA,1,Primus,FORMOSVS,NA,0805-06-30T00:00:00Z,30/06/805,"Ostia, Papal States",0891-10-06T00:00:00Z,06/10/891,0896-04-04T00:00:00Z,04/04/896,86,90,4.494535519125680,Subject and later the sovereign of the Papal States. In early 897 posthumously executed following the Cadaver Synod. His body was reburied with full Christian honours in 897.,https://en.wikipedia.org/wiki/Pope_Formosus
112,Boniface,Boniface VI,NA,6,Sextus,BONIFATIVS,NA,0806-06-30T00:00:00Z,30/06/806,"Rome, Papal States",0896-04-11T00:00:00Z,11/04/896,0896-04-26T00:00:00Z,26/04/896,89,89,0.0410958904109589,Subject and later the sovereign of the Papal States.,https://en.wikipedia.org/wiki/Pope_Boniface_VI
113,Stephen,Stephen VI,NA,6,Sextus,STEPHANVS,Saint,0850-06-30T00:00:00Z,30/06/850,"Rome, Papal States",0896-05-22T00:00:00Z,22/05/896,0897-08-14T00:00:00Z,14/08/897,45,47,1.2301369863013700,Subject and later the sovereign of the Papal States. Sometimes called Stephen VII. Held the infamous Cadaver Synod.,https://en.wikipedia.org/wiki/Pope_Stephen_VI
114,Romanus,Romanus,NA,1,Primus,ROMANVS,NA,0850-06-30T00:00:00Z,30/06/850,"Gallese, Papal States",0897-08-14T00:00:00Z,14/08/897,0897-11-01T00:00:00Z,01/11/897,47,47,0.21643835616438400,Subject and later the sovereign of the Papal States.,https://en.wikipedia.org/wiki/Pope_Romanus
115,Theodore,Theodore II,NA,2,Secundus,THEODORVS,NA,0840-06-30T00:00:00Z,30/06/840,"Rome, Papal States",0897-12-01T00:00:00Z,01/12/897,0897-12-20T00:00:00Z,20/12/897,57,57,0.052054794520547900,"Subject and later the sovereign of the Papal States, of Greek ethnicity.",https://en.wikipedia.org/wiki/Pope_Theodore_II
116,John,John IX,NA,9,Nonus,IOANNES,NA,0840-06-30T00:00:00Z,30/06/840,"Tivoli, Papal States",0898-01-18T00:00:00Z,18/01/898,0900-01-05T00:00:00Z,05/01/900,57,59,1.9643835616438400,"Subject and later the sovereign of the Papal States, of Lombard ethnicity. Member of the Order of Saint Benedict.",https://en.wikipedia.org/wiki/Pope_John_IX
117,Benedict,Benedict IV,NA,4,Quartus,BENEDICTVS,NA,0840-06-30T00:00:00Z,30/06/840,"Rome, Papal States",0900-02-01T00:00:00Z,01/02/900,0903-07-30T00:00:00Z,30/07/903,59,63,3.4904109589041100,Subject and later the sovereign of the Papal States.,https://en.wikipedia.org/wiki/Pope_Benedict_IV
118,Leo,Leo V,NA,5,Quintus,LEO,NA,0845-06-30T00:00:00Z,30/06/845,"Ardea, Papal States",0903-07-30T00:00:00Z,30/07/903,0903-12-01T00:00:00Z,01/12/903,58,58,0.33879781420765000,Subject and later the sovereign of the Papal States. Deposed and murdered.,https://en.wikipedia.org/wiki/Pope_Leo_V
119,Sergius,Sergius III,NA,3,Tertius,SERGIVS,NA,0860-06-30T00:00:00Z,30/06/860,"Rome, Papal States",0904-01-29T00:00:00Z,29/01/904,0911-04-14T00:00:00Z,14/04/911,43,50,7.205479452054800,"Subject and later the sovereign of the Papal States. ""Saeculum obscurum"" begins. The first pope to be depicted with the Papal Tiara.",https://en.wikipedia.org/wiki/Pope_Sergius_III
120,Anastasius,Anastasius III,NA,3,Tertius,ANASTASIVS,NA,0865-06-30T00:00:00Z,30/06/865,"Rome, Papal States",0911-04-14T00:00:00Z,14/04/911,0913-06-01T00:00:00Z,01/06/913,45,47,2.1315068493150700,Subject and later the sovereign of the Papal States.,https://en.wikipedia.org/wiki/Pope_Anastasius_III
121,Lando,Lando,NA,1,Primus,LANDO,NA,0865-06-30T00:00:00Z,30/06/865,"Sabina, Papal States",0913-07-07T00:00:00Z,07/07/913,0914-02-05T00:00:00Z,05/02/914,48,48,0.5835616438356170,Subject and later the sovereign of the Papal States. Last to use a new and non-composed regnal name until Francis (2013-),https://en.wikipedia.org/wiki/Pope_Lando
122,John,John X,NA,10,Decimus,IOANNES,NA,0860-06-30T00:00:00Z,30/06/860,"Tossignano, Papal States",0914-03-01T00:00:00Z,01/03/914,0928-05-28T00:00:00Z,28/05/928,53,67,14.241095890411000,Subject and later the sovereign of the Papal States.,https://en.wikipedia.org/wiki/Pope_John_X
123,Leo,Leo VI,NA,6,Sextus,LEO,NA,0880-06-30T00:00:00Z,30/06/880,"Rome, Papal States",0928-05-28T00:00:00Z,28/05/928,0928-12-01T00:00:00Z,01/12/928,47,48,0.5123287671232880,Subject and later the sovereign of the Papal States.,https://en.wikipedia.org/wiki/Pope_Leo_VI
124,Stephen,Stephen VII,NA,7,Septimus,STEPHANVS,Saint,0880-06-30T00:00:00Z,30/06/880,"Rome, Papal States",0929-02-03T00:00:00Z,03/02/929,0931-02-13T00:00:00Z,13/02/931,48,50,2.0273972602739700,Subject and later the sovereign of the Papal States. Sometimes called Stephen VIII.,https://en.wikipedia.org/wiki/Pope_Stephen_VII
125,John,John XI,NA,11,Undecimus,IOANNES,NA,0910-06-30T00:00:00Z,30/06/910,"Rome, Papal States",0931-03-15T00:00:00Z,15/03/931,0935-12-01T00:00:00Z,01/12/935,20,25,4.713114754098360,"Subject and later the sovereign of the Papal States. Probably, according to the Liber Pontificalis and Liutprand of Cremona, the son of Pope Sergius III, and not of Alberic I of Spoleto, who was Marozia's husband.",https://en.wikipedia.org/wiki/Pope_John_XI
126,Leo,Leo VII,NA,7,Septimus,LEO,NA,0885-06-30T00:00:00Z,30/06/885,"Rome, Papal States",0936-01-03T00:00:00Z,03/01/936,0939-07-13T00:00:00Z,13/07/939,50,54,3.5232876712328800,Subject and later the sovereign of the Papal States. Member of the Order of Saint Benedict.,https://en.wikipedia.org/wiki/Pope_Leo_VII
127,Stephen,Stephen VIII,NA,8,Octavus,STEPHANVS,Saint,0900-06-30T00:00:00Z,30/06/900,"Rome, Papal States",0939-07-14T00:00:00Z,14/07/939,0942-10-30T00:00:00Z,30/10/942,39,42,3.2958904109589000,Subject and later the sovereign of the Papal States. Sometimes called Stephen IX.,https://en.wikipedia.org/wiki/Pope_Stephen_VIII
128,Marinus,Marinus II,NA,2,Secundus,MARINVS,NA,0900-06-30T00:00:00Z,30/06/900,"Rome, Papal States",0942-10-30T00:00:00Z,30/10/942,0946-05-01T00:00:00Z,01/05/946,42,45,3.5013698630137000,Subject and later the sovereign of the Papal States. Erroneously also known as Martin III.,https://en.wikipedia.org/wiki/Pope_Marinus_II
129,Agapetus,Agapetus II,NA,2,Secundus,AGAPETVS,NA,0905-06-30T00:00:00Z,30/06/905,"Rome, Papal States",0946-05-10T00:00:00Z,10/05/946,0955-11-08T00:00:00Z,08/11/955,40,50,9.497267759562840,Subject and later the sovereign of the Papal States.,https://en.wikipedia.org/wiki/Pope_Agapetus_II
130,John,John XII,NA,12,Duodecimus,IOANNES,NA,0930-06-30T00:00:00Z,30/06/930,"Rome, Papal States",0955-12-16T00:00:00Z,16/12/955,0963-12-06T00:00:00Z,06/12/963,25,33,7.972602739726030,"Subject and later the sovereign of the Papal States. Third pope not to use his personal name (Octavian). Deposed in 963 by Emperor Otto invalidly; end of the ""Saeculum obscurum"".",https://en.wikipedia.org/wiki/Pope_Agapetus_II
